movie_id,primary_title,start_year,runtime_minutes
tt0200422,Lover's Prayer,2001,106
tt0200427,Diamond Men,2000,100
tt0200465,The Bank Job,2008,111
tt0200472,Beautiful Joe,2000,98
tt0200483,Between the Moon and Montevideo,2001,115
tt0200525,The Chameleon,2001,90
tt0200530,Chuck & Buck,2000,96
tt0200550,Coyote Ugly,2000,100
tt0200669,The Golden Bowl,2000,130
tt0200720,The House of Mirth,2000,135
tt0200954,Totally Blonde,2001,94
tt0201020,The Rising Place,2001,93
tt0201275,True Rights,2000,101
tt0201394,The Shrink Is In,2001,92
tt0201479,Rip It Off,2001,91
tt0201485,The Body,2001,109
tt0201670,House!,2000,90
tt0201694,Longshot,2001,93
tt0201726,The Last Producer,2000,90
tt0201737,Lost in the Pershing Point Hotel,2000,107
tt0201844,Survival Island,2002,85
tt0201888,Rent a Friend,2000,90
tt0201899,A Rumor of Angels,2000,106
tt0201901,Just One Night,2000,90
tt0201934,Sister Blue,2003,88
tt0202236,Tribulation,2000,95
tt0202294,Childhood,2001,85
tt0202314,Deep Core,2000,80
tt0202360,Frost,2004,99
tt0202402,Whatever It Takes,2000,94
tt0202452,"Leif Erickson, Discoverer of North America",2000,85
tt0202458,Love.com,2002,85
tt0202470,Rock Star,2001,105
tt0202487,My Next Funeral,2000,77
tt0202560,Rope Art,2000,100
tt0202623,The Third Wheel,2002,91
tt0202641,Two Family House,2000,108
tt0202677,The Way of the Gun,2000,119
tt0202695,Numb,2003,77
tt0202711,Swimming,2000,98
tt0202829,Chasing Indigo,2000,75
tt0202856,Double Parked,2000,98
tt0202989,Intern,2000,90
tt0203009,Moulin Rouge!,2001,127
tt0203019,Men of Honor,2000,129
tt0203047,Overnight Sensation,2000,90
tt0203053,Pilgrim,2000,96
tt0203078,Rocky Road,2001,90
tt0203119,Sexy Beast,2000,89
tt0203144,Something Sweet,2000,100
tt0203166,Together,2000,106
tt0203206,The Wise Ones,2001,79
tt0203230,You Can Count on Me,2000,111
tt0203289,American Desi,2001,100
tt0203297,"Love, Money, Love",2000,137
tt0203536,A Good Night to Die,2003,100
tt0203540,Greenfingers,2000,91
tt0203580,Illicit Lovers,2000,93
tt0203584,A Neapolitan Spell,2002,82
tt0203632,The Princess and the Warrior,2000,135
tt0203755,One Night at McCool's,2001,93
tt0203830,Reaper,2000,96
tt0203835,The Alternate,2000,95
tt0203912,Sin's Kitchen,2004,91
tt0203940,Spiders,2000,94
tt0203952,Straight Out of Compton,2003,80
tt0203975,Tart,2001,94
tt0204137,Animal Factory,2000,94
tt0204175,Boys and Girls,2000,94
tt0204250,Death of a Saleswoman,2006,77
tt0204313,Exorcist: The Beginning,2004,114
tt0204322,Firecracker,2005,112
tt0204350,Poor White Trash,2000,85
tt0204352,Greasewood Flat,2003,121
tt0204382,Home Sweet Hoboken,2000,92
tt0204619,Secret Needs,2001,90
tt0204626,The Watcher,2000,97
tt0204640,Sordid Lives,2000,111
tt0204679,Astronomy of Errors,2000,84
tt0204698,Trifling with Fate,2000,93
tt0204700,Trouble Every Day,2001,101
tt0204761,Fidelity,2000,166
tt0204885,Being Considered,2000,80
tt0204932,A Summer Tale,2000,91
tt0204933,Camera Obscura,2000,99
tt0204946,Bring It On,2000,98
tt0205177,Kevin & Perry Go Large,2000,82
tt0205271,Dr. T & the Women,2000,122
tt0205380,Sanam Teri Kasam,2009,170
tt0205418,The Smokers,2000,96
tt0205461,Thomas and the Magic Railroad,2000,85
tt0205498,Venus and Mars,2001,94
tt0205521,What's Eating You?,2000,95
tt0205526,Wildflower,2000,92
tt0205729,Airboss III: The Payback,2000,92
tt0205738,AmnesiA,2001,90
tt0205778,A Question of Faith,2000,90
tt0205873,The Dish,2000,101
tt0205936,Five Seconds to Spare,2000,99
tt0206075,The King's Guard,2000,92
tt0206088,Bundle of Joy,2000,91
tt0206098,Alma Mater,2002,80
tt0206113,Madison,2001,94
tt0206184,On Edge,2001,93
tt0206211,A Pocket Full of Dreams,2001,100
tt0206223,Press Run,2000,93
tt0206226,Psycho Beach Party,2000,95
tt0206275,Save the Last Dance,2001,112
tt0206314,Joy Ride,2001,97
tt0206367,The Trumpet of the Swan,2001,75
tt0206420,Woman on Top,2000,92
tt0206545,Along for the Ride,2000,99
tt0206608,The Farewell,2000,97
tt0206634,Children of Men,2006,109
tt0206694,Somewhere in the Night,2000,90
tt0206742,Fast Food Fast Women,2000,95
tt0206762,Friends and Family,2001,87
tt0206778,2 Birds with 1 Stallone,2002,76
tt0206917,The Man Who Cried,2000,100
tt0206926,Maybe Baby,2000,104
tt0206963,My First Mister,2001,109
tt0207036,Luck of the Draw,2000,101
tt0207051,The Journey to Kafiristan,2001,101
tt0207161,Time Share,2000,87
tt0207163,Tolerance,2000,100
tt0207198,What to Do in Case of Fire,2001,101
tt0207201,What Women Want,2000,127
tt0207333,Believe,2000,96
tt0207337,The Big Thing,2000,90
tt0207377,Chain of Command,2000,96
tt0207501,The Guardian,2000,100
tt0207524,How to Kill Your Neighbor's Dog,2000,107
tt0207585,Lloyd,2001,74
tt0207631,Nostradamus,2000,88
tt0207635,Ocean Park,2002,100
tt0207638,Here's to Life!,2000,94
tt0207745,"A Girl, Three Guys, and a Gun",2000,85
tt0207988,The Sleepy Time Gal,2001,108
tt0208003,Big Momma's House,2000,99
tt0208017,Broke Even,2000,94
tt0208037,The Chaos Factor,2000,95
tt0208050,Chump Change,2000,89
tt0208092,Snatch,2000,104
tt0208196,Happy Accidents,2000,110
tt0208204,Hidden Passion,2000,93
tt0208412,Confessions of a Florist,2003,95
tt0208491,Ginostra,2002,139
tt0208870,Cóndor Crux,2000,88
tt0208874,The Contender,2000,126
tt0208883,Desire,2000,97
tt0208889,To and Fro,2000,92
tt0208899,Diary of a City Priest,2001,77
tt0208910,The Doghouse,2000,93
tt0208911,The King Is Alive,2000,110
tt0208942,Falling Through,2000,96
